Jan 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
2.86,Eating Out,Impulse,Morning,Friday,1,1/2/2026 6:50:48
5.78,Eating Out,Impulse,Afternoon,Friday,1,1/2/2026 16:40:50
31.22,Eating Out,Impulse,Evening,Friday,1,1/2/2026 21:52:41
4.30,Eating Out,Necessary,Morning,Saturday,1,1/3/2026 9:52:47
53.08,Clothing,Necessary,Afternoon,Saturday,1,1/3/2026 12:00:15
39.46,Clothing,Necessary,Afternoon,Saturday,1,1/3/2026 14:08:43
64.79,Clothing,Necessary,Afternoon,Saturday,1,1/3/2026 14:09:03
6.20,Eating Out,Impulse,Morning,Sunday,2,1/4/2026 9:49:18
5.06,Eating Out,Treat,Evening,Sunday,2,1/4/2026 17:00:03
19.11,Eating Out,Necessary,Evening,Sunday,2,1/4/2026 17:25:21
9.00,Travel/Adventure,Necessary,Evening,Sunday,2,1/4/2026 17:25:35
19.94,Cooking/Groceries,Necessary,Morning,Monday,2,1/5/2026 9:18:32
15.35,Eating Out,Necessary,Afternoon,Monday,2,1/5/2026 14:45:52
5.43,Eating Out,Necessary,Afternoon,Monday,2,1/5/2026 15:22:54
33.00,Eating Out,Social,Evening,Tuesday,2,1/6/2026 19:05:24
16.74,Eating Out,Social,Evening,Tuesday,2,1/6/2026 19:05:36
6.90,Eating Out,Impulse,Afternoon,Wednesday,2,1/7/2026 14:33:54
17.76,Eating Out,Social,Evening,Wednesday,2,1/7/2026 20:30:12
48.00,Transportation,Necessary,Evening,Wednesday,2,1/7/2026 21:06:33
38.98,Travel/Adventure,Social,Evening,Wednesday,2,1/7/2026 21:06:47
5.00,Travel/Adventure,Social,Morning,Thursday,2,1/8/2026 11:53:26
9.00,Eating Out,Social,Morning,Thursday,2,1/8/2026 11:53:39
9.20,Eating Out,Impulse,Morning,Thursday,2,1/8/2026 11:53:54
24.00,Transportation,Planned,Morning,Thursday,2,1/8/2026 11:56:36
15.61,Eating Out,Necessary,Afternoon,Thursday,2,1/8/2026 13:31:28
14.39,Eating Out,Impulse,Evening,Thursday,2,1/8/2026 20:57:33
4.39,Eating Out,Impulse,Morning,Friday,2,1/9/2026 10:10:18
13.30,Eating Out,Impulse,Afternoon,Friday,2,1/9/2026 13:44:57
14.50,Transportation,Necessary,Morning,Saturday,2,1/10/2026 9:17:31
20.00,Cooking/Groceries,Planned,Morning,Saturday,2,1/10/2026 9:19:29
25.00,Projects,Necessary,Morning,Saturday,2,1/10/2026 9:21:09
3.75,Eating Out,Necessary,Evening,Saturday,2,1/10/2026 19:18:04
2.85,Eating Out,Impulse,Afternoon,Monday,3,1/12/2026 13:43:51
3.43,Eating Out,Impulse,Afternoon,Monday,3,1/12/2026 16:56:01
2.85,Eating Out,Impulse,Morning,Wednesday,3,1/14/2026 7:43:00
3.39,Eating Out,Impulse,Morning,Wednesday,3,1/14/2026 11:16:45
10.37,Eating Out,Social,Afternoon,Wednesday,3,1/14/2026 16:08:05
15.92,Eating Out,Family,Afternoon,Wednesday,3,1/14/2026 16:08:24
3.54,Eating Out,Impulse,Morning,Thursday,3,1/15/2026 9:49:25
4.00,Transportation,Social,Evening,Thursday,3,1/15/2026 20:56:51
10.38,Cooking/Groceries,Family,Morning,Friday,3,1/16/2026 9:45:32
4.03,Eating Out,Impulse,Afternoon,Friday,3,1/16/2026 12:51:42
35.29,Eating Out,Family,Late Night,Saturday,3,1/17/2026 23:34:25
33.91,Projects,Family,Late Night,Saturday,3,1/17/2026 23:34:40
14.34,Eating Out,Family,Afternoon,Sunday,4,1/18/2026 12:58:18
5.99,Eating Out,Family,Afternoon,Tuesday,4,1/20/2026 12:46:55
2.39,Eating Out,Impulse,Morning,Thursday,4,1/22/2026 11:03:15
14.59,Transportation,Family,Afternoon,Thursday,4,1/22/2026 12:22:47
6.86,Eating Out,Impulse,Afternoon,Thursday,4,1/22/2026 12:22:58
11.06,Projects,Impulse,Afternoon,Thursday,4,1/22/2026 13:00:21
7.5,Cooking/Groceries,Family,Afternoon,Thursday,4,1/22/2026 13:36:55
2.86,Eating Out,Impulse,Morning,Friday,4,1/23/2026 11:02:10
15.31,Transportation,Family,Evening,Friday,4,1/23/2026 19:13:26
16.17,Other,Necessary,Morning,Saturday,4,1/24/2026 10:58:25
24.14,Cooking/Groceries,Social,Morning,Saturday,4,1/24/2026 11:00:03
70.32,Cooking/Groceries,Social,Morning,Saturday,4,1/24/2026 11:01:11
20,Utilities,Necessary,Morning,Sunday,5,1/25/2026 7:06:46
52.5,Clothing,Impulse,Morning,Sunday,5,1/25/2026 7:56:10
5.9,Cooking/Groceries,Necessary,Afternoon,Tuesday,5,1/27/2026 15:33:50
2.4,Transportation,Necessary,Afternoon,Tuesday,5,1/27/2026 15:34:06
150,Cooking/Groceries,Planned,Morning,Wednesday,5,1/28/2026 7:10:33
40,Beauty/Grooming,Necessary,Afternoon,Friday,5,1/30/2026 14:41:52
19.99,Projects,Impulse,Afternoon,Friday,5,1/30/2026 14:42:04
74.12,Cooking/Groceries,Impulse,Morning,Saturday,5,1/31/2026 10:18:01
5.35,Eating Out,Necessary,Morning,Saturday,5,1/31/2026 10:18:17